date,open,high,low,close,adjclose,volume,ticker
2016-01-04,73.2699966430664,73.2699966430664,72.05000305175781,73.04000091552734,59.192378997802734,2359600,RY.TO
2016-01-05,73.20999908447266,73.58000183105469,72.36000061035156,72.81999969482422,59.01409912109375,2277400,RY.TO
2016-01-06,72.25,72.55999755859375,71.47000122070312,71.56999969482422,58.00107955932617,2894900,RY.TO
2016-01-07,70.5,70.9800033569336,70.19999694824219,70.25,56.93132400512695,3636500,RY.TO
2016-01-08,71.0,71.02999877929688,69.94000244140625,70.06999969482422,56.785457611083984,2616800,RY.TO
2016-01-11,70.31999969482422,70.47000122070312,69.86000061035156,70.41000366210938,57.061004638671875,2293800,RY.TO
2016-01-12,70.87999725341797,71.43000030517578,70.04000091552734,70.91999816894531,57.47429656982422,2765500,RY.TO
2016-01-13,71.30000305175781,71.5,69.05999755859375,69.1500015258789,56.039894104003906,3209100,RY.TO
2016-01-14,69.30000305175781,69.75,68.0,69.56999969482422,56.380252838134766,5310600,RY.TO
2016-01-15,68.06999969482422,68.13999938964844,66.56999969482422,67.05000305175781,54.3380126953125,5710400,RY.TO
2016-01-18,66.51000213623047,67.58000183105469,66.51000213623047,66.87000274658203,54.192138671875,1543200,RY.TO
2016-01-19,67.77999877929688,68.29000091552734,67.0999984741211,67.43000030517578,54.64597702026367,4896500,RY.TO
2016-01-20,66.63999938964844,66.75,64.94999694824219,65.62000274658203,53.179134368896484,5653500,RY.TO
2016-01-21,66.08000183105469,67.08000183105469,65.62999725341797,66.83000183105469,54.15972900390625,3894100,RY.TO
2016-01-22,67.5,69.33999633789062,67.04000091552734,69.33999633789062,56.86607360839844,5199500,RY.TO
2016-01-25,69.12999725341797,69.12999725341797,66.94000244140625,67.02999877929688,54.97163009643555,2805200,RY.TO
2016-01-26,67.41000366210938,68.05999755859375,66.83999633789062,67.62000274658203,55.455501556396484,3391300,RY.TO
2016-01-27,67.69000244140625,69.22000122070312,67.5199966430664,68.62999725341797,56.28379821777344,3167800,RY.TO
2016-01-28,69.5,71.05000305175781,68.80999755859375,71.05000305175781,58.268463134765625,4410900,RY.TO
2016-01-29,71.44000244140625,72.55000305175781,70.22000122070312,72.55000305175781,59.49861526489258,4558800,RY.TO
2016-02-01,71.69999694824219,71.69999694824219,70.83000183105469,71.2699966430664,58.44886779785156,2071900,RY.TO
2016-02-02,70.13999938964844,70.37000274658203,69.44999694824219,70.08000183105469,57.47294616699219,3009400,RY.TO
2016-02-03,70.41000366210938,70.58000183105469,68.97000122070312,70.13999938964844,57.52216339111328,2866800,RY.TO
2016-02-04,70.08999633789062,71.29000091552734,70.01000213623047,70.98999786376953,58.21925354003906,2882800,RY.TO
2016-02-05,70.73999786376953,71.33000183105469,70.5,71.13999938964844,58.34225845336914,2257800,RY.TO
2016-02-08,70.36000061035156,70.5999984741211,68.93000030517578,69.29000091552734,56.825069427490234,3986900,RY.TO
2016-02-09,68.20999908447266,68.5,66.68000030517578,67.63999938964844,55.47188949584961,4707600,RY.TO
2016-02-10,68.25,68.88999938964844,66.0,66.19000244140625,54.28274917602539,3279500,RY.TO
2016-02-11,65.30000305175781,65.44000244140625,64.5199966430664,65.0,53.30681610107422,4645500,RY.TO
2016-02-12,66.16000366210938,68.05000305175781,66.0,67.9800033569336,55.75072479248047,3090000,RY.TO
2016-02-16,69.08000183105469,69.5,67.95999908447266,69.41000366210938,56.92348098754883,3423400,RY.TO
